yy,mm,dd,Steps,people,sleep,moved,homework
2016,9,12,2988,2,9,1792.8,7
2016,9,13,8194,5,4,4916.4,5
2016,9,14,5716,4,4,3429.6,5
2016,9,15,8235,10,3,4941,0
2016,9,16,161,2,7,96.6,2
2016,9,17,1724,3,9,1034.4,7
2016,9,18,397,2,9,238.2,7
2016,9,19,7210,,,4343,
2016,9,20,6834,,,4116,
2016,9,21,2644,,,1592,
2016,9,22,16834,,,10140,
2016,9,23,611,,,368,
2016,9,24,335,,,201,
2016,9,25,92,,,55,
2016,9,26,231,,,139,
2016,9,27,2945,,,1774,
2016,9,28,1141,,,687,
2016,9,29,1443,,,869,
2016,9,30,6572,,,3959,
2016,10,1,340,,,204,
2016,10,2,143,,,86,
2016,10,3,98,,,59,
2016,10,4,335,,,201,
2016,10,5,6636,,,3997,
2016,10,6,2137,,,1287,
2016,10,7,13923,,,8387,
2016,10,8,576,,,346,
2016,10,9,212,,,127,
2016,10,10,100,,,60,
2016,10,11,2137,,,1287,
2016,10,12,7507,,,4522,
2016,10,13,1938,,,1167,
2016,10,14,16516,,,9949,
2016,10,15,1710,,,1030,
2016,10,16,734,,,442,
2016,10,17,215,,,129,
2016,10,18,6781,,,4084,
2016,10,19,8874,,,5345,
2016,10,20,755,,,454,
2016,10,21,12203,,,7351,
2016,10,22,2644,,,1592,
2016,10,23,1104,,,665,
